Store,Segments,Products,Sales,Profit in %
Walmart,Grocery,Frozen,123000,65
Walmart,Grocery,Dairy,200300,45
Walmart,Grocery,Beverages,150100,29
Walmart,Grocery,Meat,230700,45
Walmart,Pharmacy,Pain Relievers,450000,46
Walmart,Pharmacy,COVID 19 Testing Kits,300000,74
Walmart,Pharmacy,Vitamins,567000,65
Walmart,Pharmacy,"Cold, Cough & Flu",698000,89
Walmart,Clothing,Winter Wear,101000,35
Walmart,Clothing,Sports Wear,119000,39
Walmart,Clothing,Casual wear,130000,41
Walmart,Clothing,Nightwear,137890,50
Walmart,Beauty,Makeup,105400,20
Walmart,Beauty,Hair Care,164300,18
Walmart,Beauty,Bath & Body,176990,16
Walmart,Beauty,Skincare,155430,14
Walmart,Personal Care,Feminine care,135670,20
Walmart,Personal Care,Men's Grooming,238970,19
Walmart,Personal Care,Oral care,127600,48
Walmart,Personal Care,Tanning & Sun care,138570,17
Walmart,Electronics,TV,136980,73
Walmart,Electronics,Cell Phones,245600,68
Walmart,Electronics,Computers,201780,59
Walmart,Electronics,Cameras,194060,38
Target,Grocery,Frozen,143000,65
Target,Grocery,Dairy,210300,45
Target,Grocery,Beverages,190100,29
Target,Grocery,Meat,280700,45
Target,Pharmacy,Pain Relievers,470000,46
Target,Pharmacy,COVID 19 Testing Kits,360000,74
Target,Pharmacy,Vitamins,587000,65
Target,Pharmacy,"Cold, Cough & Flu",718000,89
Target,Clothing,Winter Wear,191000,35
Target,Clothing,Sports Wear,109000,39
Target,Clothing,Casual wear,130000,41
Target,Clothing,Nightwear,107890,50
Target,Beauty,Makeup,176400,20
Target,Beauty,Hair Care,154300,18
Target,Beauty,Bath & Body,155990,16
Target,Beauty,Skincare,175430,14
Target,Personal Care,Feminine care,145670,20
Target,Personal Care,Men's Grooming,138970,19
Target,Personal Care,Oral care,197600,48
Target,Personal Care,Tanning & Sun care,193570,17
Target,Electronics,TV,186980,73
Target,Electronics,Cell Phones,285600,68
Target,Electronics,Computers,211780,59
Target,Electronics,Cameras,100060,
